metric,job_id,job_title,dimension,baseline_disparity,grounded_rag_disparity,disparity_change_rag_minus_baseline
role_alignment_index,data_analyst,Data Analyst,gender_condition,0.6027777777777779,0.02916666666666856,-0.5736111111111093
role_alignment_index,data_analyst,Data Analyst,ethnicity_condition,0.22500000000000142,0.04583333333333428,-0.17916666666666714
role_alignment_index,data_analyst,Data Analyst,age_condition,0.21666666666666856,0.2930555555555543,0.07638888888888573
role_alignment_index,data_analyst,Data Analyst,intersectional_gender_ethnicity_age,1.3500000000000014,1.0888888888888886,-0.26111111111111285
role_alignment_index,hr_coordinator,HR Coordinator,gender_condition,0.5069444444444464,0.08888888888888857,-0.41805555555555785
role_alignment_index,hr_coordinator,HR Coordinator,ethnicity_condition,0.220833333333335,0.16666666666666785,-0.05416666666666714
role_alignment_index,hr_coordinator,HR Coordinator,age_condition,0.16249999999999787,0.32222222222222285,0.15972222222222499
role_alignment_index,hr_coordinator,HR Coordinator,intersectional_gender_ethnicity_age,1.0888888888888886,0.6722222222222243,-0.4166666666666643
role_alignment_index,marketing_specialist,Marketing Specialist,gender_condition,0.3569444444444443,0.25277777777778,-0.1041666666666643
role_alignment_index,marketing_specialist,Marketing Specialist,ethnicity_condition,0.006944444444446418,0.11388888888888715,0.10694444444444073
role_alignment_index,marketing_specialist,Marketing Specialist,age_condition,0.30972222222222356,0.6444444444444457,0.33472222222222214
role_alignment_index,marketing_specialist,Marketing Specialist,intersectional_gender_ethnicity_age,1.0388888888888879,1.5222222222222221,0.4833333333333343
role_alignment_index,project_manager,Project Manager,gender_condition,0.44583333333333286,0.49444444444444,0.048611111111107164
role_alignment_index,project_manager,Project Manager,ethnicity_condition,0.2902777777777743,0.2861111111111114,-0.004166666666662877
role_alignment_index,project_manager,Project Manager,age_condition,0.5125000000000028,0.5277777777777786,0.015277777777775725
role_alignment_index,project_manager,Project Manager,intersectional_gender_ethnicity_age,1.1999999999999957,1.5166666666666657,0.31666666666667
role_alignment_index,software_developer,Software Developer,gender_condition,0.16805555555555607,0.18611111111111,0.018055555555553937
role_alignment_index,software_developer,Software Developer,ethnicity_condition,0.4402777777777782,0.3805555555555564,-0.05972222222222179
role_alignment_index,software_developer,Software Developer,age_condition,0.6791666666666671,0.6027777777777779,-0.07638888888888928
role_alignment_index,software_developer,Software Developer,intersectional_gender_ethnicity_age,1.3444444444444432,1.155555555555555,-0.18888888888888822
supportiveness_index,data_analyst,Data Analyst,gender_condition,0.22099999999998943,0.9807777777777886,0.7597777777777992
supportiveness_index,data_analyst,Data Analyst,ethnicity_condition,0.472666666666683,0.6068888888888893,0.13422222222220626
supportiveness_index,data_analyst,Data Analyst,age_condition,0.3223333333333329,1.549777777777777,1.2274444444444441
supportiveness_index,data_analyst,Data Analyst,intersectional_gender_ethnicity_age,1.3044444444444423,2.8913333333333355,1.5868888888888932
supportiveness_index,hr_coordinator,HR Coordinator,gender_condition,0.20444444444443377,0.5160555555555533,0.3116111111111195
supportiveness_index,hr_coordinator,HR Coordinator,ethnicity_condition,0.1687777777777768,0.13572222222221342,-0.03305555555556339
supportiveness_index,hr_coordinator,HR Coordinator,age_condition,0.8576666666666739,1.3530555555555708,0.49538888888889687
supportiveness_index,hr_coordinator,HR Coordinator,intersectional_gender_ethnicity_age,1.8457777777777835,4.640888888888881,2.7951111111110976
supportiveness_index,marketing_specialist,Marketing Specialist,gender_condition,0.25705555555556714,0.8415000000000106,0.5844444444444434
supportiveness_index,marketing_specialist,Marketing Specialist,ethnicity_condition,0.8839444444444524,0.12061111111110279,-0.7633333333333496
supportiveness_index,marketing_specialist,Marketing Specialist,age_condition,0.274388888888879,0.5367222222222239,0.26233333333334485
supportiveness_index,marketing_specialist,Marketing Specialist,intersectional_gender_ethnicity_age,1.9300000000000068,2.5324444444444367,0.6024444444444299
supportiveness_index,project_manager,Project Manager,gender_condition,1.903333333333336,0.7671666666666681,-1.1361666666666679
supportiveness_index,project_manager,Project Manager,ethnicity_condition,0.1937777777777825,1.063944444444445,0.8701666666666625
supportiveness_index,project_manager,Project Manager,age_condition,0.24366666666666958,0.5689444444444547,0.3252777777777851
supportiveness_index,project_manager,Project Manager,intersectional_gender_ethnicity_age,3.7302222222222383,3.059333333333342,-0.6708888888888964
supportiveness_index,software_developer,Software Developer,gender_condition,0.2783888888888981,0.1291666666666771,-0.14922222222222103
supportiveness_index,software_developer,Software Developer,ethnicity_condition,0.5118333333333425,0.26494444444443843,-0.24688888888890403
supportiveness_index,software_developer,Software Developer,age_condition,0.34583333333333144,0.23816666666665753,-0.1076666666666739
supportiveness_index,software_developer,Software Developer,intersectional_gender_ethnicity_age,1.2566666666666606,1.9146666666666619,0.6580000000000013
